n_samp,kappa,d_effect,method,mean_bias,emp_sd,mean_se,rmse,coverage,active_frac_mean,h_l2_mean,delta_sd,delta_mad,delta_q95,delta_q99,tau_max,l2_rho,l2_M_train,l2_active_train,l2_ok_rate
500,3.5,2,L2-grid TS (rho=0.20),0.010993518176457759,0.21711083439073856,0.13667665168931983,0.21717204613605115,0.746,0.165528,0.2975491857003954,23.230835925250506,0.4751570266645513,11.856390645639664,78.90800324721368,0.2,0.2,0.10175900511172643,0.16534300000000002,1
500,3.5,2,L2-grid TS (rho=0.40),0.010693867414847886,0.21643720608750602,0.1339758984911474,0.21648494832411322,0.744,0.171488,0.30394156694811825,23.305436317938906,0.5025874970265852,11.92417358784014,78.90800324721428,0.2,0.4,0.19603087558328278,0.17119800000000002,1
1500,3.5,2,AIPW,-0.0059488806600947455,0.5052725608663342,0.16316687621770576,0.5048020891636668,0.856,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
1500,3.5,2,Fixed TS-AIPW,-0.010852721370082552,0.11252372059099452,0.05922331157193905,0.11293381283471116,0.726,0.20096266666666668,0.33363684836366975,19.03332235447288,1.284835579644885,17.347303906360654,44.24636546167117,0.2,NA,NA,NA,NA
1500,3.5,2,Shrinking quantile TS,-0.005948880659741934,0.5052725608663345,0.1631668762177158,0.504802089163663,0.856,0.007886666666666667,0.05470729851317391,3.799981172526224e-12,1.3275864942280835e-11,2.036033946176323e-11,2.2775708405577784e-11,0.2,NA,NA,NA,NA
1500,3.5,2,L2-grid TS (rho=0.05),-0.011341233629765312,0.12459209296122467,0.08121189333003889,0.12498306617076752,0.798,0.11722533333333333,0.2421593179314481,18.227063625217212,0.7043925176833117,15.362419984365276,43.98557933685544,0.2,0.05,0.026140308828852158,0.11728133333333333,1
1500,3.5,2,L2-grid TS (rho=0.10),-0.011174256853551027,0.12415069208388495,0.08014185860706463,0.12452883831645957,0.798,0.120652,0.24614303479476188,18.254392508036833,0.7951261275340138,15.639582682347042,44.00515938822096,0.2,0.1,0.06307230976210686,0.12076466666666667,1
1500,3.5,2,L2-grid TS (rho=0.20),-0.011003520394247355,0.12312168862565526,0.07820270355424684,0.12348971524252277,0.792,0.12674266666666667,0.2531157850000102,18.312294969803645,0.9270113024760946,16.648329615881607,44.005159388220406,0.2,0.2,0.1434042576308809,0.126757,1
1500,3.5,2,L2-grid TS (rho=0.40),-0.010205254203454875,0.12134424133298752,0.07516812000030514,0.12165164720720428,0.78,0.136564,0.2643835200865398,18.464448378656023,1.0493871010977596,17.277091128560855,44.005159388220406,0.2,0.4,0.30019057867684773,0.13651966666666668,1
5000,3.5,2,AIPW,0.016661825172506698,0.2109303091584798,0.09919092282824629,0.21137698207025205,0.884,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
5000,3.5,2,Fixed TS-AIPW,0.0027538963659266666,0.05923729901108595,0.03237970002491698,0.05924207477911971,0.73,0.1999552,0.3328870776096141,14.233593727222852,1.9025369773433711,17.046382013121804,58.56867815735549,0.2,NA,NA,NA,NA
5000,3.5,2,Shrinking quantile TS,0.016769357109812845,0.21001660470786176,0.09908341644633824,0.21047558443294237,0.884,0.0034844,0.03537069974343449,0.17002292147795392,3.1244839927807125e-12,4.3570065728474756e-12,4.751780153375869e-12,0.2,NA,NA,NA,NA
5000,3.5,2,L2-grid TS (rho=0.05),0.004395822988634763,0.07364543904115253,0.05556331259947867,0.07370296228733547,0.854,0.0764156,0.189732358654232,13.174282693441095,0.8278823417746284,12.763316286800519,54.19011418663229,0.2,0.05,0.022740490052332682,0.0763721,1
5000,3.5,2,L2-grid TS (rho=0.10),0.0042857098920796675,0.07325870488939498,0.0548442367952555,0.07331078689842574,0.854,0.0790792,0.19332555304261007,13.223978656609384,0.9295319799980857,12.871549933346724,54.463120934177574,0.2,0.1,0.05836982823098364,0.0790535,1
5000,3.5,2,L2-grid TS (rho=0.20),0.004240688724984862,0.07263174274659762,0.053545393883620764,0.0726828917638899,0.844,0.08388,0.19975413098966543,13.312785994001247,1.1372306247707658,13.299665638755279,54.94090375949843,0.2,0.2,0.144453259415509,0.0839465,1
5000,3.5,2,L2-grid TS (rho=0.40),0.003906704482448023,0.07151230582550722,0.05137882983783956,0.07154749614504403,0.834,0.0927432,0.2110183551102944,13.457988924132925,1.3528495328595693,13.882319388125469,55.88145142989875,0.2,0.4,0.32473906767923727,0.0928265,1
12000,3.5,2,AIPW,0.001917070685093242,0.0798265815040725,0.058483273538156674,0.07976975434592186,0.904,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
